epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,197046,1.51267,1.15407,0.01129,0.74298,0.70555,0.76279,0.444,1.37806,1.08913,0.0157,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,200769,1.5136,1.14927,0.0113,0.74924,0.70247,0.76242,0.44349,1.3726,1.08862,0.0156,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,204699,1.51495,1.12473,0.01123,0.74789,0.70595,0.76487,0.44647,1.37569,1.07972,0.01563,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,208612,1.50383,1.12502,0.01115,0.74798,0.71015,0.76537,0.44619,1.37594,1.08008,0.01561,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,212602,1.50925,1.12348,0.01116,0.7533,0.70668,0.76646,0.4462,1.37724,1.07611,0.01563,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,216551,1.49953,1.10464,0.01117,0.75241,0.70588,0.7659,0.44604,1.37786,1.07221,0.01565,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,220531,1.49456,1.09466,0.011,0.75449,0.70561,0.76635,0.44593,1.37833,1.07069,0.01564,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,224486,1.48122,1.08983,0.01098,0.75795,0.70478,0.76691,0.44711,1.37652,1.07006,0.01559,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,228471,1.48344,1.0896,0.01088,0.75624,0.70859,0.76705,0.44806,1.37603,1.06711,0.0156,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,232430,1.47371,1.07357,0.01093,0.75737,0.70586,0.76708,0.44803,1.37579,1.0749,0.01561,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,236439,1.4752,1.05773,0.01071,0.75933,0.706,0.76841,0.44871,1.37636,1.07164,0.0156,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,240376,1.46068,1.05441,0.0108,0.76058,0.70529,0.76802,0.44866,1.37673,1.06852,0.01563,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,244373,1.46985,1.05371,0.01071,0.76354,0.70706,0.76998,0.44991,1.37565,1.06434,0.01557,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,248321,1.4588,1.03985,0.01067,0.76411,0.7035,0.76903,0.44945,1.37475,1.05566,0.01552,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,252293,1.45963,1.03344,0.01063,0.76252,0.70341,0.7694,0.44941,1.37243,1.05518,0.01549,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,256171,1.45239,1.01981,0.01062,0.76358,0.70268,0.76947,0.4497,1.3721,1.05403,0.01548,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,260043,1.44993,1.00342,0.01048,0.76215,0.70539,0.76885,0.45001,1.37267,1.04965,0.01549,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,263846,1.44156,1.00272,0.01045,0.76649,0.70724,0.77019,0.45058,1.37226,1.04862,0.01549,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,267626,1.43409,0.98667,0.01032,0.76799,0.70571,0.77065,0.45043,1.37364,1.04403,0.01552,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,271454,1.42907,0.97593,0.01029,0.76979,0.7033,0.77116,0.4507,1.37427,1.04189,0.01552,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,275322,1.43399,0.98614,0.01028,0.76459,0.70845,0.77141,0.45065,1.37609,1.03919,0.01554,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,279180,1.41839,0.97406,0.01026,0.76402,0.70932,0.7715,0.45089,1.37719,1.03513,0.01559,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,283120,1.40198,0.96136,0.01008,0.76151,0.7136,0.77171,0.45143,1.37847,1.03107,0.01562,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,287043,1.40605,0.94898,0.00995,0.76093,0.7143,0.77235,0.45189,1.37813,1.03107,0.01563,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,291041,1.41063,0.94926,0.01004,0.75955,0.71432,0.77217,0.45188,1.37879,1.02979,0.01563,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,294992,1.39492,0.93107,0.01004,0.75779,0.71484,0.77255,0.45194,1.37848,1.02919,0.01561,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,298998,1.39266,0.91812,0.00983,0.76158,0.71178,0.77298,0.45197,1.37994,1.02645,0.01565,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,302927,1.38501,0.90515,0.00987,0.76296,0.71162,0.77271,0.4517,1.37938,1.02782,0.01564,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,306872,1.38178,0.91207,0.00977,0.76228,0.71358,0.77281,0.45222,1.37958,1.02735,0.01564,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,310802,1.37566,0.90734,0.00978,0.7628,0.71241,0.77247,0.45182,1.3811,1.02973,0.01569,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,314762,1.36917,0.89071,0.00959,0.7662,0.70967,0.77233,0.45198,1.38064,1.02547,0.01569,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,318687,1.35978,0.8794,0.00955,0.7677,0.70926,0.77261,0.45175,1.37995,1.02365,0.01567,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,322654,1.36642,0.88558,0.00955,0.76412,0.71221,0.77237,0.45144,1.38009,1.02096,0.01568,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,326470,1.35893,0.86744,0.00956,0.76441,0.71263,0.77257,0.45119,1.37916,1.02076,0.01566,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,330445,1.34824,0.8534,0.0094,0.76556,0.70901,0.772,0.45093,1.37974,1.01839,0.01567,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,334616,1.34062,0.84938,0.00935,0.76922,0.70957,0.77202,0.45125,1.37996,1.01595,0.01567,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,338515,1.33229,0.84079,0.00912,0.76117,0.71364,0.77128,0.45077,1.38049,1.01468,0.01568,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
